advertiser_id,advertiser_name,advertiser_segment,industry,region,country,signup_month
ADV0170,ConsumerApps Signal 170,SMB,Consumer Apps,Europe,United Kingdom,2024-09-01
ADV0171,Retail Signal 171,SMB,Retail,Asia Pacific,Indonesia,2024-08-01
ADV0172,ConsumerApps Signal 172,Agency,Consumer Apps,Middle East & Africa,United Arab Emirates,2024-09-01
ADV0173,Gaming Signal 173,SMB,Gaming,Asia Pacific,Indonesia,2024-03-01
ADV0174,Gaming Signal 174,SMB,Gaming,North America,Canada,2024-09-01
ADV0175,Fintech Signal 175,SMB,Fintech,Asia Pacific,South Korea,2024-06-01
ADV0176,Beauty Signal 176,Enterprise,Beauty,Middle East & Africa,Saudi Arabia,2024-09-01
ADV0177,Beauty Signal 177,SMB,Beauty,Asia Pacific,Indonesia,2024-12-01
ADV0178,Education Signal 178,Agency,Education,Asia Pacific,Japan,2024-07-01
ADV0179,Retail Signal 179,Mid-Market,Retail,Middle East & Africa,United Arab Emirates,2024-03-01
ADV0180,Education Signal 180,SMB,Education,Asia Pacific,South Korea,2024-08-01
